40,28,2
28,40,2
40,28,3
28,40,3
40,28,4
28,40,4
40,28,5
28,40,5
40,28,6
28,40,6
40,28,7
28,40,7
40,28,8
28,40,8
40,28,9
28,40,9
40,28,10
28,40,10
40,28,11
28,40,11
40,28,12
28,40,12
40,28,13
28,40,13
40,28,14
28,40,14
40,28,15
28,40,15
40,28,16
28,40,16
40,28,17
28,40,17
40,28,18
28,40,18
40,28,19
28,40,19
40,28,20
28,40,20
40,28,21
28,40,21
40,28,22
28,40,22
40,28,23
28,40,23
40,28,24
28,40,24
40,28,25
28,40,25
40,28,26
28,40,26
40,28,27
28,40,27
40,28,28
28,40,28
40,28,29
28,40,29
40,28,30
28,40,30
40,28,31
28,40,31
40,28,32
28,40,32
40,28,33
28,40,33
40,28,34
28,40,34
40,28,35
28,40,35
40,28,36
28,40,36
40,28,37
28,40,37
40,28,38
28,40,38
40,28,39
28,40,39
34,11,40
28,40,40
40,28,40
34,11,41
28,40,41
40,28,41
34,11,42
28,40,42
40,28,42
22,16,43
34,11,43
28,40,43
40,28,43
22,16,44
34,11,44
28,40,44
40,28,44
22,16,45
34,11,45
28,40,45
40,28,45
22,16,46
34,11,46
28,40,46
40,28,46
22,16,47
34,11,47
28,40,47
40,28,47
22,16,48
34,11,48
28,40,48
40,28,48
22,16,49
34,11,49
28,40,49
40,28,49
22,16,50
34,11,50
28,40,50
40,28,50
